dbp170531,gdb8789
dbp3078907,gdb7946
dbp17781677,gdb7721
dbp11664080,gdb772
dbp12332353,gdb4054
dbp4280678,gdb7945
dbp21394399,gdb8586
dbp1179800,gdb887
dbp18829220,gdb19345
dbp34168,gdb627
dbp1847427,gdb643
dbp19309206,gdb22965
dbp187265,gdb23211
dbp1672039,gdb3447
dbp1788988,gdb4812
dbp1049273,gdb14265
dbp1900748,gdb4571
dbp1211354,gdb6570
dbp2934545,gdb3217
dbp739195,gdb8834
dbp1756014,gdb19328
dbp29248409,gdb900
dbp11875997,gdb22726
dbp1645762,gdb6309
dbp1448319,gdb3270
dbp2551002,gdb9900
dbp10067647,gdb2626
dbp18529098,gdb8472
dbp6573769,gdb8643
dbp1594795,gdb20142
dbp10398857,gdb5616
dbp1086626,gdb5954
dbp10608845,gdb12278
dbp10763443,gdb19436
dbp30874977,gdb81
dbp875392,gdb95
dbp4398267,gdb967
dbp10579863,gdb20974
dbp24281367,gdb9949
dbp4903932,gdb6141
dbp13811435,gdb4398
dbp5042738,gdb7987
dbp3267452,gdb5843
dbp1227495,gdb795
dbp2107563,gdb5461
dbp19590612,gdb22370
dbp14477439,gdb93
dbp1981155,gdb4180
dbp3236551,gdb7572
dbp31919335,gdb6147
dbp32220853,gdb9465
dbp2146841,gdb5996
dbp20196924,gdb5475
dbp18469964,gdb3300
dbp1398478,gdb6957
dbp10469769,gdb23509
dbp17991313,gdb6335
dbp4208818,gdb7331
dbp2489061,gdb6552
dbp1865407,gdb1998
dbp2080524,gdb4272
dbp5751140,gdb5826
dbp17725582,gdb8645
dbp1341928,gdb3325
dbp21802080,gdb9393
dbp10509931,gdb9254
dbp17622966,gdb18711
dbp3346825,gdb7041
dbp1565058,gdb2122
dbp31685017,gdb6303
dbp417150,gdb4441
dbp15321529,gdb17402
dbp5631185,gdb9098
dbp19007879,gdb21677
dbp12847059,gdb3573
dbp33959538,gdb5807
dbp12200878,gdb13299
dbp580856,gdb6207
dbp6555696,gdb7213
dbp4633090,gdb6145
dbp29222301,gdb4423
dbp1611481,gdb19669
dbp2432395,gdb3491
dbp2145690,gdb2643
dbp3830890,gdb7768
dbp18148179,gdb7734
dbp18148179,gdb7735
dbp17642749,gdb897
dbp31277360,gdb6475
dbp19076840,gdb23382
dbp28063235,gdb801
dbp23496466,gdb7286
dbp1132936,gdb17047
dbp153436,gdb960
dbp100062,gdb216
dbp488916,gdb6459
dbp3002581,gdb5385
dbp1521610,gdb22668
dbp2295079,gdb7210
dbp18254161,gdb18684
dbp5645134,gdb9099
dbp1958858,gdb5890
dbp1694635,gdb7416
dbp15684835,gdb18389
dbp1372417,gdb14043
dbp32113132,gdb8414
dbp14265864,gdb3025
dbp12291014,gdb22221
dbp32013005,gdb9060
dbp1995251,gdb4251
dbp1380213,gdb2181
dbp4713406,gdb7011
dbp13136271,gdb4249
dbp1065205,gdb7333
dbp2061564,gdb8786
dbp13767273,gdb499
dbp1231662,gdb1698
dbp22132698,gdb6818
dbp167782,gdb2299
dbp2343774,gdb495
dbp1160422,gdb5560
dbp34144162,gdb9121
dbp1813146,gdb354
dbp41301836,gdb492
dbp20596440,gdb793
dbp10634022,gdb14237
dbp28997471,gdb4086
dbp2081137,gdb23202
dbp52761,gdb9445
dbp612968,gdb7074
dbp3139098,gdb9203
dbp16339588,gdb20455
dbp3537030,gdb4085
dbp5302097,gdb737
dbp27755625,gdb7606
dbp632845,gdb781
dbp31391925,gdb6518
dbp17699272,gdb856
dbp12083378,gdb22352
dbp15156806,gdb20758
dbp1241000,gdb3650
dbp2336227,gdb9052
dbp28245646,gdb7802
dbp12068481,gdb21538
dbp22364201,gdb4332
dbp13346116,gdb13385
dbp35963232,gdb4219
dbp1110158,gdb20421
dbp1795010,gdb5914
dbp2253437,gdb6049
dbp10219900,gdb8384
dbp22610827,gdb7116
dbp17637756,gdb4357
dbp11168203,gdb28
dbp31932766,gdb6167
dbp1833803,gdb9710
dbp1952932,gdb4865
dbp866781,gdb9108
dbp14421816,gdb903
dbp10326790,gdb6877
dbp1323540,gdb3176
dbp20885022,gdb6852
dbp1372868,gdb22574
dbp30873608,gdb365
dbp52755,gdb83
dbp10554104,gdb20037
dbp2910896,gdb9417
dbp21016320,gdb9988
dbp1287167,gdb839
dbp24642233,gdb3021
dbp12264737,gdb14108
dbp32587436,gdb5795
dbp3896689,gdb7765
dbp36007980,gdb5271
dbp11874457,gdb18038
dbp27851082,gdb4061
dbp27641068,gdb9122
dbp1085317,gdb11505
dbp1049775,gdb1467
dbp29189944,gdb8700
dbp470260,gdb5071
dbp6014427,gdb7048
dbp1066808,gdb2319
dbp1133333,gdb9874
dbp1880926,gdb4103
dbp1564417,gdb3154
dbp22084757,gdb5386
dbp13207439,gdb13525
dbp4100920,gdb7151
dbp2830354,gdb7172
dbp1581952,gdb7429
dbp12452112,gdb5249
dbp330873,gdb5241
dbp18985454,gdb758
dbp362641,gdb788
dbp2319993,gdb7204
dbp18736289,gdb4205
dbp2939361,gdb5378
dbp11139384,gdb23562
dbp2999487,gdb3725
dbp11590877,gdb3997
dbp19582513,gdb21747
dbp1564810,gdb22437
dbp15175465,gdb18782
dbp3053877,gdb5556
dbp12962214,gdb6461
dbp2827238,gdb8714
dbp2277047,gdb2390
dbp1391817,gdb6128
dbp14187684,gdb1875
dbp1354139,gdb9813
dbp1874785,gdb1886
dbp2033475,gdb7514
dbp1277259,gdb589
dbp5175140,gdb8186
dbp12625348,gdb5031
dbp10484631,gdb13656
dbp1159576,gdb19875
dbp19570308,gdb6904
dbp12126810,gdb590
dbp4415951,gdb7373
dbp13939462,gdb3213
dbp27015687,gdb5963
dbp10314706,gdb8488
dbp1217823,gdb4477
dbp3030120,gdb7940
dbp3312374,gdb3697
dbp26428397,gdb4792
dbp22289232,gdb5348
dbp3812747,gdb6027
dbp21133958,gdb4910
dbp17028381,gdb5442
dbp3651306,gdb6774
dbp18366937,gdb3019
dbp11955962,gdb5763
dbp3081915,gdb8630
dbp30121698,gdb883
dbp5058450,gdb5977
dbp13739608,gdb4190
dbp13673554,gdb5239
dbp22836033,gdb3873
dbp61139,gdb802
dbp2268510,gdb3945
dbp1563901,gdb18669
dbp28183884,gdb4053
dbp3783695,gdb6563
dbp824786,gdb8553
dbp12915762,gdb21570
dbp1566486,gdb1707
dbp308002,gdb9620
dbp27015410,gdb5716
dbp19478967,gdb6730
dbp11801699,gdb8366
dbp2895329,gdb9977
dbp1636825,gdb21
dbp13892453,gdb20122
dbp13804577,gdb19216
dbp1428296,gdb14755
dbp4279131,gdb9628
dbp6906042,gdb8076
dbp1088412,gdb13155
dbp11158558,gdb6594
dbp4995197,gdb9591
dbp26512287,gdb9188
dbp5747480,gdb5821
dbp5471199,gdb9186
dbp22976443,gdb2664
dbp2635249,gdb7161
dbp27665197,gdb3153
dbp11907702,gdb1877
dbp1661629,gdb18557
dbp10528705,gdb9784
dbp5221581,gdb5536
dbp3713853,gdb6844
dbp13371771,gdb4648
dbp11164988,gdb20842
dbp1930921,gdb4754
dbp27577162,gdb9701
dbp2083963,gdb7966
dbp13467936,gdb23403
dbp31510288,gdb7781
dbp24773771,gdb3635
dbp403307,gdb7626
dbp12676980,gdb21634
dbp32460034,gdb5705
dbp28214750,gdb4133
dbp10473598,gdb20435
dbp12604789,gdb18815
dbp1047184,gdb1446
dbp1866458,gdb5282
dbp335215,gdb3445
dbp2146395,gdb9313
dbp5122320,gdb6815
dbp15088766,gdb2186
dbp1952419,gdb6899
dbp2146729,gdb7235
dbp10699477,gdb17760
dbp1315996,gdb9256
dbp232766,gdb3817
dbp5389403,gdb7938
dbp11944051,gdb21123
dbp10180906,gdb12224
dbp22947987,gdb9320
dbp2650981,gdb9721
dbp2147038,gdb3219
dbp39730413,gdb9169
dbp24281367,gdb9183
dbp1564663,gdb1930
dbp1202480,gdb7291
dbp1239945,gdb9255
dbp31107561,gdb9241
dbp1531116,gdb7450
dbp21923549,gdb827
dbp20270632,gdb837
dbp9307186,gdb9779
dbp5561698,gdb70
dbp11191409,gdb11570
dbp27392441,gdb941
dbp4844804,gdb5856
dbp25256261,gdb891
dbp4118312,gdb5691
dbp5222475,gdb9412
dbp2419099,gdb4092
dbp24953254,gdb5973
dbp3022755,gdb4388
dbp1972780,gdb7295
dbp20099365,gdb23410
dbp18501550,gdb193
dbp6231686,gdb8558
dbp2066288,gdb92
dbp1696618,gdb3633
dbp2530086,gdb6527
dbp28892376,gdb6651
dbp23005253,gdb2537
dbp2482184,gdb6773
dbp12866681,gdb17918
dbp954779,gdb9981
dbp12008571,gdb14324
dbp20177414,gdb4729
dbp10693078,gdb1937
dbp33979741,gdb9739
dbp1301121,gdb2351
dbp11182376,gdb17484
dbp1750674,gdb6948
dbp32051294,gdb6144
dbp4044473,gdb9288
dbp1715632,gdb17232
dbp8758887,gdb9310
dbp25198689,gdb318
dbp11834004,gdb14329
dbp33074346,gdb9256
dbp1784922,gdb8924
dbp15719279,gdb5052
dbp1073552,gdb6837
dbp12269603,gdb8368
dbp27571558,gdb8395
dbp32140972,gdb3306
dbp1440613,gdb5460
dbp4934154,gdb5235
dbp27502225,gdb9138
dbp16720282,gdb613
dbp1312786,gdb1413
dbp21716359,gdb5888
dbp1115443,gdb9771
dbp10378310,gdb1945
dbp24556978,gdb7783
dbp12360099,gdb4468
dbp22328740,gdb308
dbp35557156,gdb7798
dbp1144890,gdb7056
dbp1994406,gdb360
dbp6036428,gdb8355
dbp2701815,gdb8029
dbp5080187,gdb6812
dbp15324764,gdb23492
dbp4739626,gdb7249
dbp3067610,gdb3125
dbp31624378,gdb7791
dbp12499393,gdb18121
dbp2063476,gdb3185
dbp1513561,gdb7053
dbp15321981,gdb5925
dbp3885576,gdb3936
dbp15915369,gdb6880
dbp2063476,gdb3184
dbp16873978,gdb3570
dbp19863980,gdb7434
dbp7070570,gdb7741
dbp1932355,gdb21510
dbp14385771,gdb8401
dbp12100831,gdb20152
dbp32174967,gdb9120
dbp1986434,gdb6896
dbp1444834,gdb4872
dbp1048232,gdb3505
dbp1202871,gdb7022
dbp22085175,gdb5386
dbp5457272,gdb6001
dbp11803507,gdb12580
dbp23828092,gdb942
dbp7698684,gdb9982
dbp2983804,gdb568
dbp11749248,gdb6455
dbp11749248,gdb6454
dbp5300763,gdb5559
dbp13042464,gdb3881
dbp2039925,gdb5018
dbp17503361,gdb480
dbp252975,gdb6325
dbp4011951,gdb7910
dbp4128528,gdb5055
dbp2983287,gdb9293
dbp1370248,gdb8911
dbp14489671,gdb2753
dbp3243955,gdb8148
dbp3064467,gdb7427
dbp27863015,gdb4967
dbp11219773,gdb9162
dbp1750442,gdb6950
dbp431232,gdb7028
dbp2835709,gdb467
dbp12719775,gdb7411
dbp15553435,gdb2550
dbp13875317,gdb21117
dbp1502544,gdb615
dbp1563350,gdb2166
dbp12194807,gdb7591
dbp1511647,gdb9308
dbp4817796,gdb7057
dbp253870,gdb6549
dbp1135092,gdb3694
dbp12126911,gdb13247
dbp1087198,gdb5437
dbp12435585,gdb2004
dbp2917810,gdb4596
dbp23647632,gdb9216
dbp1479061,gdb2619
dbp1900807,gdb19319
dbp6143979,gdb6248
dbp35118437,gdb9665
dbp10670576,gdb2440
dbp3753574,gdb5426
dbp7607152,gdb8917
dbp15562959,gdb18678
dbp1864926,gdb9814
dbp2261019,gdb9789
dbp1311805,gdb9835
dbp1406637,gdb15210
dbp15247387,gdb21049
dbp5939816,gdb6972
dbp19403491,gdb8903
dbp15511640,gdb18241
dbp32506593,gdb8418
dbp2491756,gdb8358
dbp5463663,gdb9318
dbp39292,gdb618
dbp1783163,gdb7121
dbp153448,gdb270
dbp2213563,gdb8568
dbp2095370,gdb85
dbp1680790,gdb6740
dbp1187454,gdb9793
dbp21770542,gdb6626
dbp253360,gdb6400
dbp6204711,gdb6979
dbp18196457,gdb6759
dbp1692043,gdb4879
dbp6040526,gdb6627
dbp30864259,gdb8273
dbp20915011,gdb4046
dbp4933820,gdb7050
dbp1667025,gdb22181
dbp1127169,gdb11597
dbp12205924,gdb169
dbp353081,gdb780
dbp167579,gdb773
dbp2249453,gdb5121
dbp25533143,gdb7720
dbp31943854,gdb3639
dbp11415415,gdb21681
dbp1305143,gdb19845
dbp7524868,gdb7950
dbp1563506,gdb1949
dbp1564632,gdb18309
dbp5104699,gdb9367
dbp1501508,gdb4769
dbp16528939,gdb8943
dbp10674778,gdb13030
dbp14967386,gdb9525
dbp3787882,gdb5012
dbp13621840,gdb20399
dbp11630141,gdb2827
dbp21595410,gdb8402
dbp1127824,gdb2302
dbp1047513,gdb8570
dbp3096917,gdb5670
dbp22681752,gdb8519
dbp1955664,gdb9700
dbp3097188,gdb9882
dbp18876989,gdb3492
dbp28192691,gdb4091
dbp27345177,gdb8035
dbp1790379,gdb9775
dbp3178045,gdb4533
dbp1061636,gdb17589
dbp10481868,gdb8537
dbp31125095,gdb9714
dbp1108924,gdb4436
dbp1187764,gdb4363
dbp3961727,gdb7230
dbp12126346,gdb5335
dbp1554253,gdb7365
dbp5079021,gdb6709
dbp1465393,gdb606
dbp4663592,gdb7227
dbp2850313,gdb7237
dbp17994731,gdb5531
dbp1861170,gdb9308
dbp1134074,gdb3789
dbp22186931,gdb7749
dbp1041909,gdb15635
dbp1551664,gdb3234
dbp2306146,gdb4142
dbp30861525,gdb7077
dbp1905716,gdb2396
dbp254654,gdb6259
dbp14191507,gdb1860
dbp3652602,gdb5281
dbp1299675,gdb14053
dbp1190240,gdb14099
dbp8066525,gdb8191
dbp31036584,gdb5289
dbp1194387,gdb17765
dbp2542708,gdb8648
dbp16579639,gdb1693
dbp1437668,gdb18336
dbp1295448,gdb8382
dbp1230982,gdb22513
dbp18930434,gdb7803
dbp3051666,gdb4785
dbp34139535,gdb6913
dbp1778986,gdb9561
dbp14731020,gdb18180
dbp23067669,gdb5032
dbp10542764,gdb347
dbp501594,gdb779
dbp1724430,gdb9790
dbp10392052,gdb4499
dbp1885128,gdb2391
dbp5715857,gdb6964
dbp3009952,gdb3717
dbp15066669,gdb19741
dbp13369421,gdb9995
dbp5313512,gdb5869
dbp10203333,gdb5025
dbp4868810,gdb5557
dbp10381896,gdb1652
dbp16344579,gdb18405
dbp29752115,gdb372
dbp10930851,gdb8227
dbp11111228,gdb8477
dbp16429170,gdb18293
dbp1364696,gdb7281
dbp1225437,gdb6261
dbp41275538,gdb5303
dbp11982679,gdb3473
dbp2233745,gdb22961
dbp10900582,gdb20250
dbp16184973,gdb21839
dbp11867704,gdb21669
dbp30779979,gdb8850
dbp4461261,gdb6106
dbp3657770,gdb69
dbp39759443,gdb5495
dbp1913256,gdb4545
dbp10653382,gdb14479
dbp2309926,gdb8699
dbp4059769,gdb4433
dbp7005088,gdb8437
dbp26973349,gdb9698
dbp10435859,gdb22750
dbp23126579,gdb7070
dbp3385301,gdb4953
dbp10674778,gdb13029
dbp13422848,gdb13619
dbp33112477,gdb8992
dbp1353355,gdb23293
dbp19014712,gdb556
dbp24029391,gdb881
dbp27470987,gdb7953
dbp1555866,gdb5509
dbp2134825,gdb7320
dbp2735475,gdb9968
dbp1336098,gdb9796
dbp1014007,gdb1523
dbp2546574,gdb7240
dbp34014698,gdb4694
dbp10326790,gdb8462
dbp2429510,gdb5858
dbp408407,gdb4174
dbp1681553,gdb9252
dbp20112565,gdb6820
dbp2842622,gdb6836
dbp1788990,gdb2811
dbp1167751,gdb19706
dbp177925,gdb2252
dbp3526803,gdb3616
dbp22418742,gdb5505
dbp1882919,gdb95
dbp22186931,gdb8463
dbp4905353,gdb7094
dbp746910,gdb765
dbp27275116,gdb8463
dbp3334111,gdb6070
dbp29006007,gdb9034
dbp16873850,gdb18623
dbp5613431,gdb6604
dbp2878239,gdb9304
dbp24378483,gdb6767
dbp3740083,gdb768
dbp12298602,gdb20199
dbp22612336,gdb950
dbp31182877,gdb6754
dbp26512287,gdb4408
dbp18340837,gdb7814
dbp5499790,gdb8320
dbp25215,gdb427
dbp1823191,gdb6814
dbp1916006,gdb6821
dbp17454150,gdb9216
dbp5153756,gdb7855
dbp27952391,gdb3318
dbp1983945,gdb6865
dbp5697639,gdb6466
dbp14484754,gdb22640
dbp11679041,gdb20969
dbp7810188,gdb91
dbp18197946,gdb3204
dbp1788968,gdb4825
dbp30749429,gdb3135
dbp32006197,gdb8396
dbp27719897,gdb7945
dbp3592377,gdb959
dbp11300654,gdb7813
dbp32580287,gdb9180
dbp1818790,gdb6853
dbp24385318,gdb939
dbp2296072,gdb23613
dbp496392,gdb7805
dbp33937892,gdb8188
dbp11921580,gdb3265
dbp11157373,gdb7459
dbp1564411,gdb1631
dbp23223675,gdb6793
dbp2795965,gdb8400
dbp290129,gdb3151
dbp15655603,gdb9422
dbp20023621,gdb9012
dbp5318566,gdb6107
dbp1319207,gdb21666
dbp12928979,gdb5072
dbp30749500,gdb9462
dbp14249968,gdb3246
dbp2173741,gdb6926
dbp13164605,gdb1473
dbp1132660,gdb3232
dbp1342760,gdb6029
dbp534116,gdb803
dbp1500162,gdb5766
dbp31351439,gdb7928
dbp13379355,gdb14861
dbp3296190,gdb7198
dbp15628590,gdb20333
dbp1796472,gdb2659
dbp10506899,gdb19214
dbp1049788,gdb1887
dbp1159591,gdb19878
dbp210873,gdb2559
dbp23000489,gdb8967
dbp23349991,gdb919
dbp1946057,gdb4151
dbp32294945,gdb4275
dbp11396180,gdb18937
dbp1056666,gdb23606
dbp34308406,gdb9188
dbp15788718,gdb2962
dbp1717800,gdb3174
dbp6953624,gdb9167
dbp3987153,gdb523
dbp12370669,gdb648
dbp1353308,gdb7797
dbp6994441,gdb9969
dbp15040467,gdb2226
dbp1159587,gdb8783
dbp25280226,gdb755
dbp1909684,gdb4550
dbp28806057,gdb8687
dbp15191891,gdb926
dbp6894360,gdb7458
dbp10286698,gdb22308
dbp4948861,gdb9261
dbp2557201,gdb6946
dbp3010144,gdb9812
dbp1970197,gdb6374
dbp2876310,gdb6276
dbp23900312,gdb6450
dbp8639952,gdb9232
dbp11831788,gdb19957
dbp17900910,gdb9083
dbp16493802,gdb7498
dbp1874857,gdb19221
dbp32533907,gdb8847
dbp1717016,gdb1723
dbp1149057,gdb14156
dbp10468410,gdb5486
dbp10938442,gdb6958
dbp11496692,gdb1975
dbp1737989,gdb18889
dbp7759390,gdb9264
dbp26323596,gdb4627
dbp17092396,gdb7594
dbp16823279,gdb9242
dbp633739,gdb7921
dbp13723211,gdb20003
dbp167813,gdb774
dbp14132920,gdb894
dbp13115980,gdb831
dbp2212403,gdb3498
dbp1866542,gdb1911
dbp4988155,gdb6881
dbp1192443,gdb2317
dbp39026650,gdb6953
dbp17454150,gdb20548
dbp2422910,gdb9345
dbp707775,gdb8987
dbp3413479,gdb356
dbp23555420,gdb364
dbp1608545,gdb2150
dbp3575822,gdb9626
dbp1204292,gdb21445
dbp1358162,gdb20886
dbp1769334,gdb409
dbp17019642,gdb833
dbp445630,gdb5317
dbp18389690,gdb5091
dbp13351653,gdb7089
dbp16675306,gdb21262
dbp25757138,gdb7754
dbp10176539,gdb15644
dbp30736670,gdb7628
dbp12719226,gdb22318
dbp1268445,gdb19062
dbp12235476,gdb8228
dbp5070585,gdb6603
dbp1574804,gdb19869
dbp30312302,gdb4408
dbp12314381,gdb21315
dbp1038195,gdb4887
dbp17929944,gdb18670
dbp2208217,gdb3192
dbp13110319,gdb1974
dbp24169952,gdb681
dbp18935803,gdb20819
dbp11201320,gdb19591
dbp27582142,gdb918
dbp10920831,gdb6739
dbp17156477,gdb17304
dbp14936681,gdb22997
dbp17720544,gdb5621
dbp2877994,gdb9630
dbp357017,gdb764
dbp1046187,gdb1373
dbp23066512,gdb908
dbp2914746,gdb3768
dbp31705977,gdb944
dbp1099463,gdb999
dbp18935803,gdb20820
dbp3004964,gdb3917
dbp1185772,gdb19465
dbp15160295,gdb18208
dbp1395666,gdb18364
dbp28483868,gdb5693
dbp15684617,gdb7449
dbp31489667,gdb8394
dbp17146998,gdb18125
dbp27801,gdb41
dbp10521949,gdb7232
dbp2323086,gdb794
dbp3787693,gdb9111
dbp11160900,gdb12809
dbp2534645,gdb2674
dbp48687,gdb5240
dbp10036275,gdb1615
dbp14421821,gdb9598
dbp4148875,gdb493
dbp2779745,gdb7687
dbp1759263,gdb6559
dbp1395495,gdb9978
dbp304738,gdb3816
dbp25582874,gdb719
dbp11743517,gdb24
dbp5168274,gdb5728
dbp3019792,gdb6221
dbp3598043,gdb6302
dbp2606382,gdb6926
dbp21526340,gdb7643
dbp32620699,gdb3836
dbp10054351,gdb1028
dbp747627,gdb775
dbp20601166,gdb22161
dbp2173736,gdb6926
dbp1221167,gdb2301
dbp2359334,gdb5485
dbp4077700,gdb9251
dbp662987,gdb8026
dbp2215171,gdb9944
dbp30484187,gdb9401
dbp10373719,gdb9219
dbp2146726,gdb7234
dbp1198322,gdb18811
dbp21251331,gdb9136
dbp2093611,gdb267
dbp2621254,gdb6887
dbp4339411,gdb60
dbp12538627,gdb22541
dbp2421299,gdb4578
dbp18012906,gdb3471
dbp3287841,gdb3459
dbp31985500,gdb8427
dbp3899137,gdb6339
dbp10820666,gdb16473
dbp1972259,gdb2193
dbp7125351,gdb7734
dbp7125351,gdb7735
dbp27544919,gdb5253
dbp4304472,gdb5375
dbp3801977,gdb8467
dbp5147303,gdb5645
dbp12383106,gdb3440
dbp31928557,gdb6149
dbp1310032,gdb6210
dbp10055555,gdb7744
dbp37913049,gdb9392
dbp5837890,gdb6969
dbp12835484,gdb8245
dbp2146685,gdb2566
dbp1836389,gdb2406
dbp2249577,gdb331
dbp648512,gdb7015
dbp18620299,gdb824
dbp1478484,gdb3167
dbp13059904,gdb8514
dbp18148179,gdb23530
dbp3993706,gdb6515
dbp1309709,gdb17052
dbp11520279,gdb7715
dbp1995538,gdb5673
dbp11200542,gdb20206
dbp2175092,gdb4486
dbp3887263,gdb5091
dbp13396703,gdb4716
dbp13152555,gdb1977
dbp1324517,gdb6883
dbp15888626,gdb19644
dbp7021780,gdb8675
dbp49615,gdb9929
dbp2041062,gdb9873
dbp21306940,gdb4406
dbp14961692,gdb21478
dbp2115180,gdb3718
dbp2194141,gdb9692
dbp22400497,gdb2623
dbp13977160,gdb6850
dbp5001577,gdb9705
dbp21591744,gdb4407
dbp1090079,gdb11461
dbp167723,gdb1789
dbp12747550,gdb2168
dbp3588572,gdb5904
dbp5073860,gdb5346
dbp3818417,gdb6736
dbp1247566,gdb19708
dbp2977349,gdb8387
dbp1469841,gdb2104
dbp405665,gdb961
dbp5819759,gdb9053
dbp14105036,gdb19346
dbp1829841,gdb6143
dbp14465033,gdb3868
dbp14250847,gdb181
dbp4931234,gdb6960
dbp35951645,gdb9284
dbp1169762,gdb5459
dbp16736534,gdb6579
dbp2509081,gdb7336
dbp33327117,gdb9250
dbp11280569,gdb15895
dbp6259453,gdb6958
dbp15956288,gdb22915
dbp27606673,gdb956
dbp3633076,gdb5380
dbp18718651,gdb21550
dbp16679769,gdb1863
dbp1518597,gdb507
dbp16658751,gdb3535
dbp1057684,gdb1469
dbp364952,gdb6742
dbp2076914,gdb5882
dbp1050479,gdb15119
dbp11134014,gdb5028
dbp39370052,gdb8585
dbp201704,gdb785
dbp2168891,gdb3947
dbp1148045,gdb17654
dbp2045589,gdb9148
dbp28224168,gdb6491
dbp1794722,gdb7804
dbp1610555,gdb2782
dbp18618556,gdb2456
dbp1339146,gdb7035
dbp16864582,gdb8696
dbp5297107,gdb9023
dbp6859615,gdb9832
dbp529838,gdb5580
dbp3863293,gdb9604
dbp4140030,gdb957
dbp313868,gdb4747
dbp17063451,gdb21452
dbp1511647,gdb19851
dbp2386594,gdb4369
dbp1209446,gdb9366
dbp1916583,gdb19842
dbp28400410,gdb7674
dbp4738281,gdb8100
dbp3071657,gdb5237
dbp15364151,gdb15869
dbp1812326,gdb5549
dbp3587586,gdb8420
dbp1663525,gdb20485
dbp2382275,gdb5455
dbp10384511,gdb830
dbp28832249,gdb4026
dbp13125538,gdb17491
dbp1548896,gdb6412
dbp15364151,gdb15855
dbp1522496,gdb7054
dbp1282784,gdb14502
dbp2053056,gdb218
dbp15364151,gdb15859
dbp15018614,gdb17742
dbp28946801,gdb8923
dbp30872528,gdb3326
dbp12089920,gdb1305
dbp15710035,gdb22083
dbp1311212,gdb591
dbp1563589,gdb1684
dbp15574839,gdb8590
dbp2172792,gdb7965
dbp1335182,gdb1653
dbp1559112,gdb22664
dbp1563381,gdb1656
dbp1098784,gdb2335
dbp1774646,gdb23212
dbp1521644,gdb8989
dbp3214647,gdb7010
dbp5072839,gdb5342
dbp14182154,gdb1789
dbp5184439,gdb9843
dbp5075557,gdb6331
dbp1900017,gdb21345
dbp10764860,gdb3448
dbp10962069,gdb9748
dbp4439439,gdb5443
dbp39717175,gdb9735
dbp26310724,gdb8390
dbp12213931,gdb2401
dbp3246941,gdb5820
dbp5080685,gdb6838
dbp2356246,gdb9343
dbp31856531,gdb9671
dbp2146994,gdb9634
dbp17486601,gdb9135
dbp2636700,gdb63
dbp2452764,gdb4795
dbp3474965,gdb5966
dbp6344783,gdb7903
dbp1494288,gdb245
dbp5837900,gdb7231
dbp11239006,gdb20485
dbp23746049,gdb7096
dbp12555534,gdb14914
dbp10177214,gdb5883
dbp4263518,gdb6083
dbp2149958,gdb4665
dbp32051552,gdb6174
dbp18654909,gdb8532
dbp2452771,gdb9281
dbp16724044,gdb16871
dbp13580563,gdb8223
dbp11802281,gdb8364
dbp224747,gdb8733
dbp6074401,gdb968
dbp1305157,gdb5689
dbp1621888,gdb21098
dbp12453960,gdb22406
dbp24052355,gdb7932
dbp17896463,gdb2204
dbp2646209,gdb6825
dbp17705611,gdb8852
dbp3783094,gdb3951
dbp3133554,gdb9917
dbp1661651,gdb22667
dbp30740464,gdb9270
dbp2006409,gdb251
dbp12465881,gdb877
dbp2045534,gdb4957
dbp5041557,gdb7169
dbp152839,gdb7046
dbp2295843,gdb6448
dbp7667867,gdb8456
dbp5651216,gdb6464
dbp1138363,gdb8536
dbp3652578,gdb9178
dbp27918110,gdb3920
dbp2343798,gdb7368
dbp4186895,gdb6091
dbp156756,gdb2194
dbp33558802,gdb8065
dbp1168378,gdb3341
dbp39519265,gdb9396
dbp2140666,gdb3153
dbp4224835,gdb708
dbp1868140,gdb798
dbp13587263,gdb3597
dbp2569750,gdb5433
dbp19682369,gdb5646
dbp21838352,gdb928
dbp253346,gdb689
dbp17674741,gdb20248
dbp3281669,gdb9876
dbp11010005,gdb7735
dbp11010005,gdb7734
dbp1794330,gdb963
dbp3048788,gdb5053
dbp4806498,gdb8949
dbp2508273,gdb524
dbp22697824,gdb4709
dbp32784185,gdb7256
dbp14252867,gdb6165
dbp23481596,gdb9869
dbp18023404,gdb23564
dbp1494533,gdb21799
dbp24531628,gdb9215
dbp18545255,gdb8977
dbp1511042,gdb17189
dbp10052048,gdb18866
dbp2391429,gdb5436
dbp12623248,gdb5096
dbp296199,gdb8367
dbp3610895,gdb8500
dbp26757525,gdb5653
dbp6067827,gdb9789
dbp5167549,gdb9938
dbp21996185,gdb847
dbp12180470,gdb5816
dbp30680801,gdb9878
dbp2963387,gdb5981
dbp5422739,gdb6125
dbp15479709,gdb6334
dbp23972101,gdb7127
dbp21486131,gdb4333
dbp10579402,gdb6560
dbp1590808,gdb2048
dbp2425528,gdb7408
dbp36257346,gdb9368
dbp26876889,gdb9170
dbp867841,gdb8785
dbp1008445,gdb6966
dbp4732472,gdb9891
dbp1159573,gdb19874
dbp4545242,gdb462
dbp2160191,gdb7480
dbp2128404,gdb7129
dbp3926606,gdb66
dbp1771655,gdb5595
dbp31970125,gdb8908
dbp24058456,gdb6785
dbp2287057,gdb6993
dbp19539395,gdb201
dbp18087145,gdb9322
dbp16187734,gdb21805
